iyear,I_REL_1,I_REL_2,I_REL_3,I_REL_4,I_REL_5,I_REL_6,I_REL_7,I_REL_8,I_REL_9,I_REL_10
2021,0,0,0,0,27,0,0,0,0,0
2020,0,1,0,0,33,0,0,0,0,0
2019,0,0,0,0,67,0,0,0,0,0
2018,0,0,0,0,99,0,0,0,0,0
2017,0,3,0,0,151,0,0,0,0,0
2016,0,0,0,0,183,0,0,0,0,0
2015,0,0,0,0,248,0,0,0,0,0
2014,0,0,0,0,464,0,0,0,0,0
2013,0,0,0,0,301,0,2,0,0,0
2012,0,0,0,0,374,0,0,0,0,0
2011,0,0,0,0,197,0,0,0,0,0
2010,0,0,0,0,210,0,0,0,0,0
2009,0,0,0,0,159,0,0,0,0,0
2008,0,1,0,0,116,0,0,0,0,0
2007,0,0,0,0,6,0,0,0,0,0
2006,0,0,0,0,4,0,0,0,0,0
2005,0,0,0,0,10,0,0,0,0,0
2004,0,0,0,0,16,0,0,0,0,0
2003,0,0,0,0,14,0,0,0,0,0
2002,0,0,0,0,14,0,0,0,0,0
2001,0,0,3,0,5,3,0,0,0,0
2000,0,0,10,0,2,10,0,0,0,0
1999,0,1,5,0,0,5,0,0,0,0
1998,0,2,3,0,2,3,0,0,0,0
1997,0,6,0,0,0,0,0,0,0,0
1996,0,5,1,0,0,1,0,0,0,0
1995,0,3,0,0,0,0,0,0,0,0
1994,0,1,27,0,0,27,2,0,0,0
1992,0,1,13,0,2,13,0,0,0,0
1991,0,0,1,0,0,1,0,0,0,0
1990,0,1,0,0,1,0,0,0,0,0
1989,0,1,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0
1987,0,1,1,0,0,1,0,0,0,0
1986,0,7,0,0,0,0,4,0,0,0
1985,0,1,1,0,0,1,5,0,0,0
1984,0,16,7,0,3,3,1,0,0,0
1983,0,7,0,0,1,0,3,0,0,0
1982,0,5,6,0,0,6,10,0,0,0
1981,0,3,8,0,0,8,9,0,0,0
1980,0,4,3,0,0,3,3,0,0,0
1979,0,2,2,0,0,2,1,0,0,0
1978,0,1,6,0,0,6,11,0,0,0
1977,0,0,2,2,0,2,4,0,0,0
1976,0,0,2,0,0,2,19,0,0,0
1975,0,0,8,0,0,8,3,0,0,0
1974,0,0,3,0,0,3,8,0,0,0
1973,0,1,2,0,0,2,1,0,0,0
1972,0,0,2,0,0,2,10,0,0,0
1971,0,3,0,0,0,0,11,0,0,0
1970,0,3,0,0,0,0,8,0,0,0
